Part Number,Description,Cost per Unit,Notes,MECO Part Number,Manufacturer,Vendor,In Stock,Update,UL File Number,UL CCN,Related Panel Details,Related Job Parts Lists,Label
,"CABLE,COMM,ETHERNET/IP",,"CABLE,COMMUNICATION,FOR ETHERNET/IP
MALE RJ45 CONNECTOR TO M12 PLUG
(4-PIN D CODE),FOR FESTO 50E, 3 METER LONG

FESTO 8040452",2853092000,,,,,,,UCiW2ARY8446aQ_1zsGwme,lnbEvkvLiH4Iu4maZdk7re,MECO 2853092000
"screw 316, 00.250""-20","SCR,316, 00.250""-20",,"CAPSCREW,HEX,00.250""-20UNC-2A X 01.000""LG,316SST,ASTM AF593,
GROUP 2 (OR ASTM A193,GRADE B8M,CLASS 2)",3502300000,,,,,,,byPs2a3sa149YPtT9dyQO7,j8AYVgUAE_4pmMhdKuqJE4,MECO 3502300000
"SCREW, 304, 00.250""-20","SCR,304, 00.250""-20",,"CAPSCREW,HEX,00.250""-20UNC-2A X 01.500""LG,304SST,ASTM F593, 
GROUP 1 (OR ASTM A193,GRADE B8,CLASS 2)",3502834000,,,,,,,e2n88XIaMd4om_WB0WmIq5,wWrdHAanb44dAAs3WGwZ7a,MECO 3502834000
,"WASHER,FLAT,00.250""",,"WASHER,FLAT,00.250""BOLT SIZE,00.688""OD X 00.266""ID
X 00.050""THK,316SST",3501919000,,,,,,,Yk056FvYTj4PUpDudMeQB2,I6LJ8jI2uf48mtqjke0Tve,MECO 3501919000
"WASHER,LOCK,00.250"",304SS","WASHER,LOCK,00.250"",304SS",,"WASHER,LOCK,00.250""BOLT SIZE,SPRING,MEDIUM,304SST",3502845000,,,,,,,He7l3w1O3u4IMel_59j0R9,WWwW4mE7-R476jg__7ORhf,MECO 3502845000
,"NUT,304, 00.250""-20",,"NUT,HEX,00.250""-20UNC-2B,304SST,ASTM A194,GRADE 8",3502751000,,,,,,,VdF8UDfSSQ4Eqe4YVwxnxe,RXXWPr4Rep4e2VB49WIlx2,MECO 3502751000
10401CC,"PANEL,DISCONN,MPU4",,"PANEL,DISCONNECT,MASTERPAK4 ULTRA
REF DWG # 10401CC
(QC ONLY PRINT CC UPON REQUEST FROM MFG)",10401MCC,,,,,,,uH885qWzrB4amDupl6XSh7,,MECO 10401MCC
,"BACK PLATE,PNEUMATICS",,"BACK PLATE,PNEUMATICS,FOR PNEUMATIC MANIFOLD,
CONDENSER TEMPERATURE TRANSMITTER
DISPLAY,STANDARD FOR MULTIPLE EFFECT STILL",2205626000,,,,,,,UQI3FRnoHm4jIH7EIgnt14,KAQE6zCQpL4SI2SKQIc322,MECO 2205626000
8AWG TYPE THHN (,"WIRE,# 8AWG,GREEN/YELLOW
TYPE THHN (# 8AWG GREEN/YELLOW)",$50.00 ,,2853090000,,,,,,,QTOxJvNGop4DyymClnLma8,"ylFS2ol5VQ436bDda8Udu2 , wsYp0bv31q4YE0fqducoS6",MECO 2853090000
"CABLE,KEYPAD,REMOTE MOUNT","CABLE,KEYPAD,REMOTE MOUNT",,"CABLE, KEYPAD, REMOTE MOUNTING FOR
YASKAWA GA800 VARIABLE FREQUENCY DRIVE
YASKAWA P/N UWR0052 OR LEGRAND P/N 15199",2854197000,,,,,,,tutn4H_gDK4SYIXv56keFf,Z5EQXEPRqK4X61kqDddE4b,MECO 2854197000
10402MCCTAG,"NAMETAG,DISCONN PANEL",,"NAMETAG,DISCONNECT PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,
WHITE BACKGROUND,BLACK LETTERING,WITH ADHESIVE
FOR PERMANENT ATTACHMENT
TEXT PER DRAWING #10402MCCTAG",10402MCCTAG,,,,,,,SToJ8OsjXg4PIvymQEf_Md,JAc9XSmkBk4T6QmMQjWLra,MECO 10402MCCTAG
10401PNEUV-ITAGS,"NAMETAG SET,VLV & INST",,"NAMETAG SET,MP VALVES & INSTRUMENTS,00.063""THK
2-PLY MATTE,PHENOLIC TYPE,WHITE BACKGROUND,BEVEL EDGE
TEXT PER DWG # 10401PNEUV-ITAGS",10401PNEUV-ITAGS,,,,,,,NQJ2aZHi6w4EE2zUiW6EYb,,MECO 10401PNEUV-ITAGS
,"KIT,DATA LOGGER",,"KIT,DATA LOGGER,SQL/FTP/MQTT COMPATIBLE,
INCLUDES PREPROGRAMMED FLEXEDGE DATA LOGGER,
CONFIGURED BY MECO ENGINEERING FOR SMART ANALYTICS

NO DWG REQUIRED",2854292000,,,,,,,txLS_hlWCb4gqwmPl4yzNb,,MECO 2854292000
DA50A0BNN0000030,IIOT PROTOCOL CONVERTER,,"IIOT PROTOCOL CONVERTER, DATA LOGGER,VIRTUAL HMI,
TWO 10/100 BASE-TX ETHERNET RJ45 PORTS WITH
PORT NETWORK ISOLATION, ONE RS-232 SERIAL PORT,
ONE RS-485 SERIAL PORT, USB PORT,MICRO SD PORT,
SINGLE SLED EXPANSION PORT,12-24 VDC
-40 TO 75C OPERATING TEMPERATURE
SQL/FTP/MQTT STORAGE COMPATIBLE

RED LION FLEXEDGE # DA50A0BNN0000030",2854292100,,,,,,,Cn-be9Ldca4eewvzGH-kp5,,MECO 2854292100
,"KIT,VPN COMM GATEWAY",,"KIT,VPN COMMUNICATIONS GATEWAY,PREPROGRAMMED VPN ROUTER
WITH IMBEDDED MODEM, GLOBAL USE SIM CARD,
PANEL MOUNT ANTENNA
CONFIGURED BY MECO ENGINEERING FOR SMART ANALYTICS

NO DWG REQUIRED",2854291000,,,,,,,0BWHanvGdD4iYyBUuXJzg4,,MECO 2854291000
V-81WLR CHECKPOINT,"ROUTER,VPN,1570R,4G/LTE",,"ROUTER,VPN,1570R,IMBEDDED 4G/LTE CELLULAR MODEM,
CAN SUPPORT 2.4/5.0GHZ WIFI FOR USA AND CANADA REGION ONLY
10.2-72VDC,USB,8 PORT ETHERNET SWITCH,DMZ/WAN PORTS,
DIN RAIL MOUNT

HARDWARE MODEL #V-81WLR
CHECKPOINT #CPAP-SG1570RWLTE-US-SNBT-DC",2854291100,,,,,,,Dpt2fUpqs44NYjNwfNMx70,,MECO 2854291100
IN1957-B OR,"ANTENNA,LOW PROFILE",,"ANTENNA,LOW PROFILE,DIRECT PERMANENT MOUNT
MIMO 2X2 3G/4G/LTE,COMES WITH SMA EXTENSION CABLES
NO GROUND PLANE NECESSARY,BLACK

PANORAMA #IN1957-B OR #IN1959-B",2854291200,,,,,,,189dKKjacK4bmiMXum_B5c,,MECO 2854291200
ADVANCED2 3FF,"CARD,SIM,CELLULAR MODEM",,"CARD,SIM,FOR CELLULAR MODEM,MICRO SIM SIZE
MULTIPLE OPERATOR COVERAGE,GLOBAL COMPATIBILITY
        
SIERRA WIRELESS SMART SIM #ADVANCED2 3FF
        
NOTE TO MECO:
   ORDER SIM CARDS VIA SIERRA AIRVANTAGE ACCOUNT
   ACTIVATE USING SIERRA AIRVANTAGE ACCOUNT",2854134001,,,,,,,zKFgPs5qm34fi4Lshnyc4a,,MECO 2854134001
"KIT, DIGITAL OPERATOR","KIT,DIGITAL OPERATOR",,"KIT,DIGITAL OPERATOR, REMOTE MOUNTING FOR
YASKAWA GA800 VARIABLE FREQUENCY DRIVE
TYPE 12/3R MOUNT (WITH EMBEDDED STUDS)
YASKAWA P/N 900-239-230-001",2854196000,,,,,,,m0MsOYPouW4jebeN0AKCqe,hoQtGEZYjy4eQyELj83z17,MECO 2854196000
,"MODULE,COMM,ETHERNET",,"MODULE,COMMUNICATION,ETHERNET I/P BACNET
FOR ALLEN-BRADLEY PLC SYSTEM
PROSOFT PS-QS-2210-F",2854391000,,,,,,,"72tN9fdfsz4XAZq0ayoSR3 , RdfySakiFI4_qrHRYGAySd",H4th-iGNnX4AIilc5IomV6,MECO 2854391000
,"XMFR,POT,2000VA",,"TRANSFORMER,POT,VA RATING 2000VA,230/460-115V,50/60CY,
WITH FINGER SAFE COVERS,WITH INTERGRAL FUSE BLOCK
SQUARE D CLASS 9070 TYPE TF2000 D1 W/FSC-2",2809669000,,,,,,,"w9AbNicW2n4xqyskEEPQFd , 6NSjKVcf1D4k64VwQIHM7c",,MECO 2809669000
10402CC,"PANEL,INST,DIST SKID",,"PANEL,INSTRUMENT,DISTRIBUTION SKID,
REF DWG # 10402CC",10402IPNL,,,,,,,OHqOussCIR41ya_YTPQDde,BCaamzydY94xm91vfshLl2,MECO 10402IPNL
10402IPNLTAG,"NAMETAG,INSTRUMENT PANEL",,"NAMETAG,INSTRUMENT PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,
WHITE BACKGROUND,BLACK LETTERING,WITH ADHESIVE
FOR PERMANENT ATTACHMENT
TEXT PER DRAWING #10402IPNLTAG",10402IPNLTAG,,,,,,,yZDqjC3WH94LEHVNK7A8F8,1tz9g7hDH24FaT4cBikvg8,MECO 10402IPNLTAG
10402PNEUV-ITAGS,"NAMETAG SET,VLV & INST,",,"NAMETAG SET,CS PNEU PANEL VALVES & INSTRUMENTS,00.063""THK,
2-PLY MATTE,WHITE BACKGROUND,BEVEL EDGE
TEXT PER DWG # 10402PNEUV-ITAGS",10402PNEUV-ITAGS,,,,,,,i1aUpyhBvq4kmvS3SqwP1b,wl5yFHIsmZ4oePvDI-FOY0,MECO 10402PNEUV-ITAGS
"CAPSCREW,304, 00.250""-20","SCR,304, 00.250""-20",,"CAPSCREW,HEX,00.250""-20UNC-2A X 00.750""LG,304SST,ASTM F593, 
GROUP 1 (OR ASTM A193,GRADE B8,CLASS 2)",3500480000,,,,,,,"EOAaFH8FAh4Ouu6SStcmn3 , feSPVjRwne4gqJizH2b3x5","C5_rYxcPQd4mMbGCcroM36 , RmJeItihxN4hIni2gF6ao8",MECO 3500480000
,"TUBE,316, 00.250""OD",,"TUBE,00.250""OD X 00.035""W,(20 GA),WELDED,
BRIGHT ANNEALED,316SST,ASTM A269,TP316

NOTE TO MECO:  COMMONLY USED ON AIR LINES",6870003000,,,,,,,HdzBknxtZl4gMYvI3xIq6d,TJ8f9fGCf64bIdbp8BDiUb,MECO 6870003000
10401MCCTAG,"NAMETAG,MOTOR CTRL,PANEL",,"NAMETAG,MOTOR CONTROL PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,WHITE BACKGROUND,
BLACK LETTERING,WITH ADHESIVE FOR PERMANENT ATTACHMENT
TEXT PER DWG # 10401MCCTAG",10401MCCTAG,,,,,,,"xMn5233nTG43IbAwHV3x3c , GGwRgLDT2s4-EgSIUkbC31",,MECO 10401MCCTAG
8AWG TYPE THHN (,"WIRE,#8AWG,YELLOW
TYPE THHN (#8AWG YELLOW)",$50.00 ,,2851135000,,,,,,,QizIEFLD9h4TeYZSua20Da,"8X2HmGoZj_4HYpJfEb_Jb3 , -_DlMmBdQ14SAuZZ5sZ_lf",MECO 2851135000
14AWG TYPE THHN (,"WIRE,#14AWG,ORANGE",,"WIRE,#14AWG,ORANGE,STRANDED
TYPE THHN (#14AWG ORANGE)",2804707000,,,,,,,inJ-7E2Wxo4DuzaTAsF-w1,,MECO 2804707000
PLSO-FS5050-24-60WW65-10M,"LED FLEXIBLE TAPE LIGHT, 10 METER ROLL
24VDC, 60 LEDS PER METER IP65
P-TEC #PLSO-FS5050-24-60WW65-10M",$105.07 ,,2700438000,,,,,,,"E3E2vw-gDD4EuDAw00_yI4 , 9ijJotQjcg4MalqMUBqjVa , iJFyu3yxqZ4tI-9Cx-ILn8 , bTzJpQAiSM4VeXwji-UiO3 , XdiXIreWm44aqFQDHBgYKd","L4gJmdl72V4NIGIMnG6OA0 , qkWYk32Zii4q2HsLxJJj80 , I5hBW0IAX747i_eqmoNL-0 , nRKXbVU2AW4NuQrIo-GCB8 , Fy50pRTSI34w6jVDkZfrx7 , pPfj0T_Taj4o2yJcZxqOK4",MECO 2700438000
10374MCCTAG2,"NAMETAG,MOTOR CONTROL PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,WHITE BACKGROUND,
BLACK LETTERING,WITH ADHESIVE FOR PERMANENT ATTACHMENT
TEXT PER DWG # 10374MCCTAG2",$0.00 ,,10374MCCTAG2,,,,,,,bP2mQCZ1so4OIIeKqlfoN0,"FEmK_xKY3G4uAfpQd49oA2 , QkPSu-zWnu42idhH857uk0",MECO 10374MCCTAG2
Label EDI DISPLAY,"NAMETAG,01.000"" X 02.500"",2 PLY,00.062""THK,
WHITE WITH BLACK CORE,BEVEL EDGE

TAG TO READ:  ""EDI DISPLAY""

SCOT-GRAV OR EQUAL",$9.00 ,,3102679000,,,,,,,"9_b42XlqDw4cYFH_6nhpq2 , Mvzi1E5Lj44Q6Rh2MTPWWb , 3iVoK5Kr2Q48QcxJa0pIg6","X-U5B_GNJn4RmSyK6_OxR2 , x2BoZDuwgW4euIkcjEgpTf",MECO 3102679000
16AWG TYPE TFFN (,"WIRE,#16AWG,BLUE                                            
TYPE TFFN (#16AWG BLUE)",$0.10 ,,2808383000,,,,,,,"2O41swSwzC4qe-fKjcaDQ3 , nZ0yzW6R9x4wEVPg_EcWE3 , _sinajwWFn4M2RGukA3OP7 , a61QkIPuWt4EefmtWXil9c , gfL7PCr7xT4ZeDHYPugP80 , 27VDzGTUqQ4yQUffsqold6 , _k0BnpDVyS4iYpW75mprIc , oh1AUIJJ1q4jyORTCBouWe , QYx0h4x3wS4tAi5K-MMwm6 , UCPwbYARae4vidTYC665Hc , E7VMTAzmDN4a2S3M_Ve3I5","wPHyW6ynjS4-6WniaDfdM6 , MJ_H4UsvMQ4Xu1puuWNbQ0 , VDMW3KSV5d4uekAy8YvuPa , b1GGoAFoTT4fIkErI63_4a , uUR8Y2zg6y4XulQl4_NyU9 , f85jxtUJck4wy-mLjy6E0d , GtQ4T0_khP4vYoes-axoV8 , V5jCAgbO4s4n6fIbLF_xLd , CFvUAuSus84YifiQJxiuGb , g4YT4n5uJ44pevr9FXH5-5 , sFpvUPqx_h44yowEyrUaP7 , 1JCdBZ7AFc42QMJC_QLjp3",MECO 2808383000
3102684001,"NAMETAG,01.000"" X 02.500"",2PLY,00.062""THK,
WHITE WITH BLACK CORE,BEVEL EDGE

TAG TO READ: ""OPERATOR INTERFACE TERMINAL""

SCOT-GRAV OR EQUAL
REF DWG # 3102684001",$9.00 ,,3100474000,,,,,,,"X257TPVfEy4mMWymv9orVa , Q_5LiFeSox4sicJHOrABa1 , F5XYMrJn6H4nIich6addUa , 072JKqgCdb4RUyUnBrsiH5 , koAHI_MtVf4birW6x24cb3","lKqv2FHBPp4pQfXj-xdHn8 , 9dbDoWhJNf4c618v7oGIj5 , lQ6iQ3ZNDd4C2OTXo3gTY0 , pi2W1Y76le4SmIRwCMq_G9 , bko0r8r-fX4UQyeYGGcI-f , kuj8MlvZfc4-Qf32Uncp85",MECO 3100474000
4AWG,"WIRE,#4AWG,BROWN
TYPE THHN",$1.40 ,,2850536000,,,,,,,"ObmfBb5U0a4ZY_29STvZ57 , 5oUH6gh3OE4gm8RHBDlsM0 , gtELvweK0S4Cybjj4oOYn8","GaEuhBu3n14tqEW58iVDP8 , j4So9Liiry4r6OzOhvR6M2",MECO 2850536000
Label CAUTION RISK OF ELECTRIC SHOCK,"NAMETAG,03.500"" X 06.000"" X 00.063""THK,3-PLY MATTE, PHENOLIC TYPE,YELLOW BACKGROUND,BLACK LETTERING, WITH ADHESIVE FOR PERMANENT ATTACHMENT TAG TO READ:                           *CAUTION*                    *RISK OF ELECTRIC SHOCK*          THIS EQUIPMENT IS POWERED FROM MULTIPLE SOURCES.          MORE THAN ONE DISCONNECT SWITCH MAY BE REQUIRED          TO DE-ENERGIZE THE EQUIPMENT BEFORE SERVICING.          SEPARATE CONTROL POWER DISCONNECT IS LOCATED          INSIDE THE PANEL",$18.00 ,,3102087000,,,,,,,"7RMtQuaee_4JAs8GPT11q4 , lCGltICM_04l6iRxM-VsUb , TmD9JQkueX452hgxtx-nPd , e0-KCOgg9m4HiSvMVyysic","4sRn-W4ZWC4w27YPJ7kKU8 , uZkvVYuOok47yjUJWvsoQ9 , htrau4fAhd4kAnku6S7Hg9 , XjGJ5-xiV845EjD_fzkhfc , 6pifJwrO4r4zAdrHh-N2xe , fh867abStT4cQkc2xcJ2V7",MECO 3102087000
,"KIT,LARGE,PLEXIGLASS,FINGER SAFE,
5/16TH ALL THREAD ROD,HARDWARE INCUDED
4'X8' SHEET OF PLEXIGLASS INCLUDED",$325.00 ,,2854407000,,,,,,,ff9wU_V0Mw4YE1dP9DD6K9,"y3qzhmQRPy4gAJW9nKHo20 , 2u4bqMPckp4GiN2pWVtff8",MECO 2854407000
10 BOLT SIZE,"WASHER,LOCK,#10 BOLT SIZE,SPLIT,304SST",$0.50 ,,3502588000,,,,,,,"v9-zbiJWad4fm8I3HxiOyb , GaewVKRst34kE-UMnRnxa1 , y_zGptgiXJ4PUWktaBRkv2 , 3GIuUWos6V4FM1cW3llG9e , JYmOVgjECn4gEIYXjDqgHe","phre_XGrfu46iEsSBUbJo5 , r0jFEL3mQ_4FylITC5wiG6 , GSv6mxOfe_4DYk04fflqF0 , kr0EnxjZPe4pIizg_FiYF8 , -1rY65SXYJ4CqcrzfoaBa4 , vZrnsUxjh_4luA6ZEQsMv8",MECO 3502588000
18AWG TYPE TFFN (,"WIRE,#18AWG,RED
TYPE TFFN (#18AWG RED)",$0.10 ,,2809848000,,,,,,,"2i231AkNIb4seOo9sRdAS4 , i3SFq07Qz34qMwcd8Oqhu0 , 7iewUVM6rs4kmQ7f9olltd , k6M-duzOZD4-Mj3mOD-D62 , M8WhPrwcDX4dYWmlsHgK62 , _rqpwNypKu4KAIFwmL02z0 , rIcM8HwF1m4k2dh9RwaQF9 , OeqXEFjFlE44QtKEqofc54","1FdDUwC6S84Zeh6EBNVNnc , Q0c8Hc-zEw4NYx-4mUiuo2 , q4copAM9iM47UJCy9TK570 , 5dET7oV-3D4bA1SIAvO6o7 , EWoNiyZR2h4R2UxnbL8wD9 , 4zR18Ie9B14AeoHtiphiA9 , 5Sgh3Kfa4T41E3h3_iPus0 , Z0BDqvjNVn47udj_Y8mG21",MECO 2809848000
18AWG TYPE TFFN (,"WIRE,#18AWG,BLACK
TYPE TFFN (#18AWG BLACK)",$0.10 ,,2809849000,,,,,,,"sF60ozpGzg4NAr9TOoLL4f , s5wU8SFM2v4dIquwQW33G9 , k3thCsCnok4LAtg41s2oR1 , OTe661E7Of4Tyx9FPNgIq7 , eAD5TalMpK4cMbyMB1l0uf , oHEq8l4i1O426ah9ht8Rr5 , L-Pj7Yhy024XmEqh-wCpGe , O3HJdalXF845YIC_-xed-b","8zMPTxgmzE4TignJ99z7qf , gD3Zj3e4IJ4jaURpEvULa9 , zU_S1TZaFF4pQcY9ydJqe5 , FBJyNJnR9C4TUdStYRPe05 , CV1rcmKwia4bYgiptq1gOe , x5OHL5HxzN4HikeethSdp2 , TJ4OqeiEhr4wE0gkOTHSva , 4uEtPf2GlR4MIPvIpnF4Z8",MECO 2809849000
3102684001,"NAMETAG,01.000"" X 02.500"",2 PLY,00.062""THK,
WHITE WITH BLACK CORE,BEVEL EDGE

TAG TO READ: RECEPTACLE FOR LAPTOP USE ONLY

SCOT-GRAV OR EQUAL
REF DWG # 3102684001",$9.00 ,,3102653000,,,,,,,"8H8aEMlDJf4eymUOHNsHJe , OehUv0aBsD4xmERDIwnOw5 , 00vXYhVEdf4aMFd6rsOyP1 , xOYxSuzio64yYdukesMyka , QIk_lQdpcd4NuIpbhCp-s4 , KUxRNE-w1p4qQS1tKqQ-B6","_NtBfIK16s4CMhYjJsJzYe , ehYNOS38ZA4h6N5ZdScGwf , G6JzqIWayA4Sivm_4m9FA2 , Bhf42hu01O4juI5NGy8fc0 , 1Mz8uRIi9N4iAjkz061Cjc , K_HKwbEq_m47Ub163a9kxb",MECO 3102653000
16AWG TYPE TFFN (,"WIRE,#16AWG,BLUE/WHITE
TYPE TFFN (#16AWG BLUE/WHITE)",$0.10 ,,2809855000,,,,,,,"SUCnq9zHj54q2RjHveSAe5 , W9jbEHOWij4z2DEsNcbZh0 , u9hwmSLaFA4CQN4TwD_51e , BMt6HSIXHK44iH9diWnbnf , CU4nPFOmK-41iH1YxIo_U4 , 2Ycdnjcdtt4-UCjFUlV4nd , MCly9UC8_l45qn6E6fwhae , ObQfqyP6Yy4rydrBDjbJc1 , 5M4SGmGF5h4KaRUgLFaTEa , F7RBo-HKuB46EbfOPXlJ34 , WABXtl7gTd4eYLuu0cSlb9","vlTlkMuDNs4sULLl0_I2z4 , XUFLOrgJNs47q8ZaMbEAc1 , VUZad_ejbn4kEUEqDVuzF5 , spau3oxf5b4-Uvxi_uTGtc , iE3pp4d-5Q4ZErMBKzH5cd , bRbiYuTkh_4GMT-TlIik3b , -lcgzeu7LU4IiGAQzDZZw5 , 0r2abXjmmJ4hi63busbaw9 , sXz3yG_xdP4e2Oc3yzscr6 , RrfMCVARWM4kqBaMR5FDP5 , HkoLVXIW38406tyLEgiDn1 , JOTg0NLpe54v6dArcFRRje",MECO 2809855000
TAG TO READ: ALARM HORN,"NAMETAG,01.000"" X 02.500"",2PLY,00.062""THK, WHITE WITH BLACK CORE,BEVEL EDGE TAG TO READ: ALARM HORN SCOT-GRAV OR EQUAL REF DWG # 3102684001",$9.00 ,,3101015000,,,,,,,"jJE8BUj0KQ4zAxDAK2qxr6 , 1yZeVhQrzZ4wUfOUcrLDM0 , 489mO-85OE4buEUJm1cGd8 , hEjXc1oatq4V6OBppJtxp3 , wpHj3HJe8Y4S20Uep0vSpc","IDFwtpOc-S43QNW0z1atJ8 , OgExqK3YV-4c68i3cq0498 , vmrIWtsK3n4JUL0RZd-IM0 , pFOVBvl6_I4IemVKRkqp27 , 6Q7hZSd97N43YZtQh_hPKb , SKund4ZbDr4KqIqhJ79kj9",MECO 3101015000
,"FUSE,6 AMPS,600VOLTS
COOPER BUSSMANN (CC-TRON) FNQ-R 6",$26.65 ,,2807755000,,,,,,,"piquEMPwDd4ZylcWd-ex-f , Cx13C_smfB4rQxxAVBk5T3 , HKp88I29Pc43UD-fuy3Fbe","TOWEflcvGC4YUK8tfkj939 , FzODAD3tfY4vYYJsDU_3-2",MECO 2807755000
12AWG TYPE THHN (,"WIRE,#12AWG,BROWN,STRANDED
TYPE THHN (#12AWG BROWN)",$0.40 ,,2808567000,,,,,,,"AGT7Z0vJqB4VqP6uPNvHn9 , KhYgMUcqT44e29d_u_kH2f , dkUBY9vOXF4_aahRrixSbb , Xo_LBay_TN41i8ZGKEGQM0","_xGEW__GJm42uwt0jzmkQ2 , U4VfMDWdCl43UyjhbY7Vt6 , QgUkn8xa3048iJn5mi-v25",MECO 2808567000
12AWG TYPE THHN (,"WIRE,#12AWG,ORANGE,STRANDED
TYPE THHN (#12AWG ORANGE)",$0.40 ,,2808568000,,,,,,,"ykqgcXYDg84m2LMR2POI5b , 3AZ2BYbHVQ4_IuoQBm1-vc , ms3OGSB2G04IIAGL4efzQ4 , uybi7kcApK4wu54ikZxoxd","kgtpFG-0cC4eijzQo4d9v7 , ziIuFRAT6Y4VehXwiiBlbd , Ss6DMPKrU44fEC9doYOlc6",MECO 2808568000
4AWG,"WIRE,#4AWG,ORANGE
TYPE THHN",$1.40 ,,2850537000,,,,,,,"5LoPFbPMpw4Xm7uWJ1uNFa , fTMhzzDRVw4lekpmO_r6q7 , VbQM238kb64fMYDC3DJoZ0",#NAME?,MECO 2850537000
4AWG,"WIRE,#4AWG,YELLOW
TYPE THHN",$1.40 ,,2850538000,,,,,,,"cgvhTqxfyD42yoE3v5HT2c , 1Goay2-z0x4gUuRClDxreb , oBgptFdFp74LyYCJAbfh1e","HIC_1FU_Oa486jiGTJ9V91 , svnIlS_ofB48Yr6y7Urjt2",MECO 2850538000
"VALVE,BALL,00.250""FPT,316SST BODY,316SST BALL & STEM, REINFORCED TFE SEATS,WITH LOCKING HANDLE APOLLO","VALVE,BALL,00.250""FPT,316SST BODY,316SST BALL & STEM, REINFORCED TFE SEATS,WITH LOCKING HANDLE APOLLO #76-101-27A",$108.67 ,,2608872000,Apollo,,,,,,"8ATVne9gfH4Eub3KmowH_4 , SA_JRkTZR64Cukz1yaQsd6 , Wy4f--dxbt4Nq0RCvjbH54 , bkqDqZmEn84lM-xbZUel8f","U_OwslYN8y4F6mZIkAyR63 , 2xBd4xPEw84dubblhXrEjb , YxJJ8Aeun84q2YAvvX7td2 , wx-cfLbgzO4Jio6yetfj09 , hZK9xRa5rf4yqOIEzRqF0b","Apollo VALVE,BALL,00.250""FPT,316SST BODY,316SST BALL & STEM, REINFORCED TFE SEATS,WITH LOCKING HANDLE APOLLO"
