Part Number,Description,Cost per Unit,Notes,MECO Part Number,Manufacturer,Vendor,In Stock,Update,UL File Number,UL CCN,Related Panel Details,Related Job Parts Lists,Label
"RELAY,CONTROL,SPDT,24VDC COIL","RELAY,CONTROL,SPDT,24VDC COIL,6AMP CONTACT RATING, DIN RAIL MOUNT, PLC-BSC-24DC/21 TERMINAL BLOCK #2966016 & RELAY #2961105 PHOENIX ORDER #2966171",$11.40 ,,2809686000,Phoenix Contact,,,,E172140,NRNT2,"f8BS_jcOX14aUvC-cr7IN7 , qemORIPvt-4324pIgDs_81 , qjVNEKkj-64lmc0rzEcaH9 , At5PR1V5U94cU_mbwRsAf8 , IdVe3Kyd1r4_MUsxyQs9hd","VrP5ZgypPN4Yy3Ksu29cv2 , -1TV_1j-Ql4fMRKguMpg6a , Y8ATz2onsy4eiiYFQWMWIa , wkAIVM_C324y2_x6PzUrwb , PCdTyVc_OM45UiOj1ALND5 , KvuXo7TN4k4124bOa1-WHe , h6dPhHecnv45equ1nb5Jb7","Phoenix Contact RELAY,CONTROL,SPDT,24VDC COIL"
"RELAY,CONTROL,DPDT,24VDC COIL,6AMP CONTACT RATING, DIN RAIL MOUNT","RELAY,CONTROL,DPDT,24VDC COIL,6AMP CONTACT RATING, DIN RAIL MOUNT, PLC-BSC-24DC/21-21 TERMINAL BLOCK #2967015 & RELAY #2961192 PHOENIX ORDER #2967060",$23.28 ,,2809894000,Phoenix Contact,,,,E172140,NRNT2,"y-zRJTRoax4ZAmBa54giS6 , Di9wc_fO_o4FikodY6IQJc , hKXhC6OCMP4Duncvt3N8R3 , z76rqQRKX84LeNfq6TmnN8 , 848Km2H045456qMAWsbRg3 , zTmg1s9pe-4DavYC6EbRo9 , ctx2rF_T7S4TIFktRM1Sw7","8BHBctcUmW4lUcg-rLhXWc , OQZ1OpKrCu4iY36tzuep52 , NgPlKPwOkz4Bq3BihTpdz8 , CsWKRAB1SH4OYRbhNz0TK0 , Y-KEmBNsRr44Yp5Xae7IQ3 , GyD895O5yL4yasucUpUDL6","Phoenix Contact RELAY,CONTROL,DPDT,24VDC COIL,6AMP CONTACT RATING, DIN RAIL MOUNT"
"0828736 1F TO 20F,1P TO 20P,1G TO 20G","TERMINAL MARKER,HORIZONTAL,FOR TERMINAL BLOCK UT 4-PE/L/HESILED 24, THREE STRIPS OF NUMBERS,1F TO 20F,1P TO 20P,1G TO 20G, PHOENIX CONTACT #0828736",$6.54 ,,2854169000,Phoenix Contact,,,,,,"pZSgREmdLB4cMNhGpuhxm8 , EO-llktqae4KyBdIUiig28 , z0D97xmXI64hE6qiCbJUj3 , WWYAou7F-44jqxj4OOqCv7 , _9Jhiq7HFs4YEY39tR9ce1","X-IpRUiqb94vmudfBzxiW0 , t6nXafw5ZZ4yyTdkJO1LAc , wcGkJB2VeS4K6xMQO2hwl4 , x0lizhbzhQ41y5uuHDrh03 , JpEgQL8mod4Dmc7gkLPzzd , usuHauQuKt45EPraznkdpa","Phoenix Contact 0828736 1F TO 20F,1P TO 20P,1G TO 20G"
"NUMBERING STRIP,6MM,WHITE,1-10, FOR PHOENIX RELAY TYPE 2966171 PHOENIX ORDER","NUMBERING STRIP,6MM,WHITE,1-10, FOR PHOENIX RELAY TYPE 2966171 PHOENIX ORDER #1051016:0001",$1.91 ,,2851441000,Phoenix Contact,,,,,,"-CspP87Txn452-YDTpRbn3 , sbLW6MobbK42agRhwASfx6 , Z1Y9kCDjGY4qYLpAGoyk98 , ScqAldOeuz44YuZCZOgSja , Gv_oN7mhSF4oidfcgPwnPb , durhfGLfk44HiYfQoqyh0a , 4IZDIslJWE4mINqcLxq1Y1 , MhoiSsNgHy4gybDC8HUP87","A_5fG5pTLS4ZYkDVOtt-s3 , M-OV26_jyF4SMkf-8XxJh1 , vXeswyLfku46IzDk94Z7u6 , zrOmdiReWf4yEalzlUypv9 , 0wfDNsXiRw40iVG2REssGc , 5tG40vLbDz4PEFHbmL0dK2 , mdAqQSnIt44cQMP7hhFVUb , CjVRcxitZ64VAEJ_m_CJ99","Phoenix Contact NUMBERING STRIP,6MM,WHITE,1-10, FOR PHOENIX RELAY TYPE 2966171 PHOENIX ORDER"
1051016:0011,"NUMBERING STRIP,6MM,WHITE,11-20,
FOR PHOENIX RELAY TYPE 2966171
PHOENIX ORDER #1051016:0011",$1.91 ,,2851443000,Phoenix Contact,,,,,,"LPQRxH0zXC43uOo2BjJJib , 9tzbXznK7X452SMJYc8xM6 , DumgOLav414v6YyIqZAua8 , wBGdJ2ekR144QN0u_HgA7b , cnXOHcwE4N4EQ5IPn3yYF1","RpJnZAYb634qI01p1tnke3 , ztQZWUs83S4ceFkcO07h5d , q8S65HaQBA4NU5NLQ5heJ9 , n7dmEV0rlM4Nio37KxOiP1",Phoenix Contact 1051016:0011
TRIO-PS-2G/1AC/24DC/3/C2LPS,"POWER SUPPLY,100-240VAC TO 24V-DC FIXED VOLTAGE @ 3.0 AMPS,
SUITABLE FOR OPERATION AS REDUNDANT OR PARALLEL POWER SUPPLY
PHOENIX CONTACT #TRIO-PS-2G/1AC/24DC/3/C2LPS #2903147",$76.58 ,,2852859000,Phoenix Contact,,,,E123528,NMTR,"Cvrounxn8U4kihztp1QNY5 , MREtRxj7H24oAkZ4XI1hL3 , jFu8VNKaWe4lmN-M5WUpn0","AJyujYr_tM4X68h6Qe8Un0 , N6CbQ7OrF54xac3JDomjkd , 1Y6tClGP9z4zYfyTrqI-u9 , 1UlIVKXK594Zm2218Ok2B8",Phoenix Contact TRIO-PS-2G/1AC/24DC/3/C2LPS
TRIO-PS-2G/1AC/24DC/10 ORDER,"POWER SUPPLY,100-240VAC TO 24V-DC @ 10.0 AMPS,SUITABLE
FOR OPERATION AS REDUNDANT OR PARALLEL POWER SUPPLY
PHOENIX CONTACT MODEL #TRIO-PS-2G/1AC/24DC/10,ORDER #2903149",$195.77 ,,2852858000,Phoenix Contact,,,,E123528,NMTR,"KQSfXiTSpO4jEH8ZW6zLT9 , CGsJSRTIGR4fy9QgIc7V37 , RmYy016JiA4my0j7CvgdNa , TUQ5jEwtsP4X6tMI4JBmm8 , RAFbA_HGSY44e7RLqbmp1d , X-Z248SnBD4fe-rnfCgyrc","kdigk_LCuw4Yq2MDQ7VPDa , fbzpFC7Rgx4MQ2W9wSHrn1 , Ztv6HaftR94lYvqYern8I3 , bDCOs8W_qC41IdD3hLjmP5 , iYJ9CHlhwO4ueoF-0Oh0k6 , svRp1jK-LA46MBjsPQd1B6",Phoenix Contact TRIO-PS-2G/1AC/24DC/10 ORDER
TRIO-PS-2G/1AC/24DC/20 ORDER,"POWER SUPPLY,100-240VAC TO 24V-DC @ 20.0 AMPS,SUITABLE
FOR OPERATION AS REDUNDANT OR PARALLEL POWER SUPPLY
PHOENIX CONTACT MODEL #TRIO-PS-2G/1AC/24DC/20,ORDER #2903151",$301.42 ,,2852857000,Phoenix Contact,,,,E123528,NMTR,"XEEQ1A8Dvx4rED4M-tWjW3 , qQrNQ8kmE84ua7Mf3aKsz6 , yRyuSIg2MM4V2ADkXyPWpd","nnSPdn9RDp4vezWDU7ys27 , cAfbWnvgmP41mh4xk3Oma7",Phoenix Contact TRIO-PS-2G/1AC/24DC/20 ORDER
"UT 4-PE/L/HESILED 24, PHOENIX CONTACT #3214321","BLOCK,TERMINAL,24V,#26-10AWG,COMPRESSION CLAMP, BLACK BODY, FUSE TYPE G,PASSTHROUGH,GROUND, 3 LEVELS,5 CONNECTIONS,28A NOMINAL,UT 4-PE/L/HESILED 24, PHOENIX CONTACT #3214321",$20.07 ,,2854042000,Phoenix Contact,,,,E60425,XCFR2,"vp3FaL_q3J4raeY9DMFmb7 , rYZmzONS314TidNPv_Vl13 , ZyHIfIcviG4XQbYPBHVPO7 , pPrMwArDg54AaBrvMd0bS2 , yBdaABQYZe4bUk6stuPLhf","wz_wwUkGgx4sAHs3CFR5ea , BKL292Zna54EEoe4QTTZc3 , cZxlXs0irg4BMMyn6iHLkc , zQs7b8CQsM4PEswWbOyKIe , CddrIbYKXj4wM9canuKQ2d , Uj2LUNL4iO4TQBun8u6zJ7","Phoenix Contact UT 4-PE/L/HESILED 24, PHOENIX CONTACT #3214321"
UT 4-PE JUMPERS,"JUMPER,CENTER,20 POLE,RED,FOR PHOENIX CONTACT TERMINAL BLOCK #UT 4-PE PHOENIX CONTACT #3030365",$9.29 ,,2854046000,Phoenix Contact,,,,E60425,XCFR2,"UkHFKt44dc4fmFSFUd-_k9 , Fp_7_JFNHM4PAuEAU_AQif , dSzHfYD0sW4Yqn7ztPoZI8 , 5x5AQxabzb4zEjTUGAOswa , olq_vJJwqN4KyDJlF2b8r5","JpxAQpVmeS44e2CQ17e7ja , jkiwHGPxsA4fyKX_d0nBP2 , QhCwSQSvDI4niLUMjngO_3 , zk7ybj10lm4dehNOeQ4SM8 , hjULO96yKy4VQ7CVwGjPw9 , qLUExjlSjl4xMNoy-jyJq8",Phoenix Contact UT 4-PE JUMPERS
"FESTO 533314,QBT-1/4-1/4-U","CONNECTOR,TEE,00.250""OD TUBE X 00.250""OD TUBE X 00.250""MPT PUSH-PULL FITTING,BLACK POLYMER FESTO 533314,QBT-1/4-1/4-U OR PISCO EQUAL (PISCO # PB1/4-N2UT)",$5.89 ,,2554105000,PISCO,,,,,,"LJYUoCItvq4CEspx16nPE3 , gfZUACypee4dugohorNti7 , 8qok2RZeyr4OqVpxLWEbva , FzSlvWT1ZB4QyNDDofVyl1","66joHsuBRO4SigPsR-Y_P0 , O36bCObKAT466d2LmyS7q1 , YY-UbyNQWY4Jy-IBbhyBv4 , BUj6LfAsF-4SMijnpnAanc , z5ItKTXdjJ4NyFVppKD8xe","PISCO FESTO 533314,QBT-1/4-1/4-U"
1783-US8T,"SWITCH,ETHERNET,UNMANAGED,STRATIX 2000 SWITCH,
8-PORT BASE SWITCH
ROCKWELL #1783-US8T",$242.89 ,,2851934000,Rockwell,,,,E65584,NRAQ,"XvcMyCTYHN48q-YmoHRLhd , _ILl-iYlgo4iAtgT_zN6Ae , COA7iwhNnn45ilVs0czph2 , RDN8eivoXq4JYxJdtu2A40 , Pj9oUkYmSu4GQlsv9WuL74","Te01Hbxun74W2LKeKIdhO8 , rpRhmVJF-O4HUOSBsQvNJ8 , ZZoqOw3zs34ZMpDpNsagPa , L5XfPmyRBd4U6VJeJXefL4 , n4yjAgYRIM4SikEv_QCF75 , 6Mj_Neljxm4pQT2O_32G1b",Rockwell 1783-US8T
"CARD,MEMORY,SD,4GB, SANDISK # MEM-4GSD OR EQUAL GRAINGER","CARD,MEMORY,SD,4GB, SANDISK # MEM-4GSD OR EQUAL GRAINGER# 14F881",$22.07 ,,2852288000,SANDISK,,,,,,"6DwsCMOVDQ4heKYyspcJl3 , __oUMInjJL4lYlCTqKPWI7","C05Coaz6De4hIJPq0pjRA4 , nGDiHYzgd94tUI_E6vJ2F1 , 0ySGi47DEr40e-1OqbS_20","SANDISK CARD,MEMORY,SD,4GB, SANDISK # MEM-4GSD OR EQUAL GRAINGER"
9070T5000D37,"TRANSFORMER,POT,VA RATING 5000VA,
550/575/600V PRIMARY,115/230V SECONDARY,
50/60CY

SQUARE D # 9070T5000D37","$2,850.00 ",,2854590000,Schneider Electric,,,,E137621,NMTR,vXP4D9jtK04oqGt_BezTea,"0F0dSkxF5A4_qdkftm1q50 , KT-LS5gTSy48emqwunhX06",Schneider Electric 9070T5000D37
"LABEL, WARNING","LABEL, WARNING, ARC FLASH HAZARD 03.500"" X 5.000"" THOMAS & BETTS #LB94913",$6.40 ,,3102216000,Thomas & Betts,,,,,,"QVzGTQuqWO4lA4lhbw0WJ6 , -2XwcGcV7P4JmxnT3OcHwd , 8zTdeFb_Gg4LIp1xiqN9J4 , 1LUJngYc3Y456kQrtKQ1A2 , 4SwO42w5df47Mkrv9D64Q8 , NDIusuxnNC4SQEO-4tkHLd","WbziS_ijd_4VYezAvTaqWa , -vcuJwty1K4XA5bWd-Wjm1 , Q0QCRn5X554DAsbY3IcEg5 , p1MG7rouWs4BmLt6NIg2jc , RxK0-X6G-y4k2nxU3Cxz5e , xBTLoflUOg42aC0o0Gf2ee","Thomas & Betts LABEL, WARNING"
DC21-60F0-0000,"CONTROLLER,POWER,SCR,65 AMPS,277-600VAC,50/60HZ,
4-20MA INPUT,3 PHASE,2 LEG CONTROL,120VAC FAN,
WATLOW #DC21-60F0-0000",$640.00 ,,2850850000,WATLOW,,,,E73741,NRNT,"vdpu5YqY8f46y4aiSQ0-fc , BY67IBf8zS4Aq8Evsn7qD8 , YYGhUQTvOS4W2Z4AnB_lU0","x01xYsrx034y64U-tT-aB8 , 2I52DK0HgO44my5XSM2k8d",WATLOW DC21-60F0-0000
"BLOCK,SUPPORT,INSULATING,FOR ISOLATING SHIELD/GROUND WEIDMULLER TYPE SH2S CAT","BLOCK,SUPPORT,INSULATING,FOR ISOLATING SHIELD/GROUND WEIDMULLER TYPE SH2S CAT #064172000   (OLD #6417.2)",$16.00 ,,2808292000,Weidmuller,,,,,,"Z-lB-nIO8f4oycSRtR-x5e , 9CFVgN_KKQ4uU4X4RK0fKf , y80QXQS6ht4wezteixac3b , HQJloQ-8JQ4qaWoO7Ay7f4 , ucpbo0ZqhG4UmBR0vJe__9","snUImKb39p4im-jp5nrww6 , d7PVHrglYF4Dy1IfVi_C00 , m64zXUG6_W4baipxpJSIb8 , hauoy2Mgwx4giHvaUqrSx4 , FYF0LDLs8D4wA6lPwmJLte , tAiP4YC4Zm44iNwwU0EA73","Weidmuller BLOCK,SUPPORT,INSULATING,FOR ISOLATING SHIELD/GROUND WEIDMULLER TYPE SH2S CAT"
1010000000,"STANDARD DESIGN PROTECTIVE CONDUCTOR TERMINAL - WPE 2.5


GROUND TERMINAL


GREEN/YELLOW WEMID, 22-12AWG


SERIE W - SCREW CLAMP, MOUNTS ON DIN RAIL",,,,Weidmuller,,,,,,DZyK-UVqHY4-6Iq9ny2Epc,,Weidmuller 1010000000
PUN-H-1/4-BL-500-HA OR PARKER PARAFLEX,"TUBE,00.250""OD X 00.045""W,BLUE,POLYURETHANE TUBING,
FESTO # PUN-H-1/4-BL-500-HA
OR PARKER PARAFLEX #HU-4-BLU-0500 IS ACCEPTABLE SUBSTITUTE

NOTE TO MECO:  WHEN ORDERING FROM FESTO ON A SPOOL
THE MANUFACTURER P/N IS XXXXXXXXXXXXXXXX",$0.43 ,,6630186000,AB,AB rep,,,,,"mK9gpEriQ24hYe3vT-gzSc , ZccI7fox624oyT1k6og3n7 , z7lj5jnCi_4iiap74MmYD4 , 8OLg7EmsQ94BU0koZ_1XU8","ZTiBJA3l4c4Fq5vBX9QWrb , 5eyehWMJ0J4BIFyhYhpe24 , hGhrfNkOyD4Cmh4l-80NCe , tyyGFzKCsd4nuHaRPqCi95 , n72DYXV20J4vI7ahvd9ahe",AB PUN-H-1/4-BL-500-HA OR PARKER PARAFLEX
1769-L32E,,$0.00 ,,,AB,AB rep,,,E65584,NRAQ,zlYnShL7EF4ma01E3ytPN1,,AB 1769-L32E
"Ethernet patch cable, JL-14 OR EQUAL","CABLE,COMMUNICATION,CATEGORY 6 NETWORK CABLE,FOR STANDARD        
ETHERNET(10BASE-T) OR FAST ETHERNET(100BASE-T) NETWORKING,       
MALE/MALE RJ45 CONNECTIONS WITH SNAGLESS BOOTS,PVC JACKETED      
CABLE,4 TWISTED PAIRS,24AWG,YELLOW,14FT                           
A2Z CABLES #JL-14 OR EQUAL",$8.00 ,,2851589000,AB,AB rep,,,,,"0hDEyKLIVX4kuiHTWVcv3b , cY95ehKa0z4zQ6TxBIamz7 , FUYz_D-_704oq8OH4GyOw6","VsKF8JokHK4J2g54q0Euz0 , wddOOr_c_24KM3wE1f6fi7 , wyOu9pFsKn4imp-IfZKIo3 , QDALnFGuvz4Re7AyS0TkL8","AB Ethernet patch cable, JL-14 OR EQUAL"
1769-PB4,"1769 MICRO LOGIX 1500 COMPACT I/O MODULE


1769


POWER SUPPLY


24VDC


POWER SUPPLY",,,,AB,AB rep,,,E322657,NRAQ,WhWanfAPej4zIfByWQZaYb,,AB 1769-PB4
855PC-B24LE422,"HORN,ALARM,WITH RED LED,24V,AC/DC,
65MM SIZE,22.5MM MOUNTING HOLE
AB #855PC-B24LE422",$261.77 ,,2850941000,AB,AB rep,,,E14840,NKCR,"mUxuWrnUKr4XEk0A3RiiEf , 47rHzpyHHM4OQJpchLxcd3 , jPkTNd1X-w4Q22zv6rRzD6 , 2ZMvt8IJFo4Umvmi_SjBA4 , o0A-ST5ANf4smHeB4ssHO2","xkjZvDVX8J4GM-JytIl6P1 , 4H98d2-ZIH4IylxgLD-2J1 , Wf-LuTgFvK4-E1LK0UQ-Da , jJmx8_RSra4A2dRokoUvd6 , RfyCp9UGyy4fyVGzBx20g3 , 2iJYI_foM14YU6VBnSp4Y3",AB 855PC-B24LE422
GA80U4018ABM OLD VENDOR,"VARIABLE FREQ DR,10HP,460",,"VARIABLE FREQUENCY DRIVE,10HP/460V/3PH/60HZ MOTOR,
NEMA 1(IP20) ENCLOSURE,DIMENSIONS:10.2""H X 5.51""W
X 8.31""D
YASKAWA #GA80U4018ABM

OLD VENDOR #CIMR-F7U47P5",2851234000,AB,AB rep,,,,,bwzXgW2nF54kmL0oOfjgId,rBE6_-hhmF4UeY6K4AWe86,AB GA80U4018ABM OLD VENDOR
RF-S142R,"CONNECTOR,RIGHT ANGLE",,"CONNECTOR,RIGHT ANGLE,RP-SMA MALE TO SMA FEMALE
FOR CELLULAR ANTENNA USE

ORDER IS TWO PER PACK

CABLESONLINE.COM MFG# RF-S142R
(OLD  RF-S103R-2)",2854291300,AB,AB rep,,,,,miDV8Zcm404MAwZ0wCoByb,,AB RF-S142R
JL-25 OR EQUAL,"CABLE,COMMUNICATION,CATEGORY 6 NETWORK CABLE,FOR STANDARD        
ETHERNET(10BASE-T) OR FAST ETHERNET(100BASE-T) NETWORKING,       
MALE/MALE RJ45 CONNECTIONS WITH SNAGLESS BOOTS,PVC JACKETED      
CABLE,4 TWISTED PAIRS,24AWG,YELLOW,25FT
A2Z CABLES #JL-25 OR EQUAL",$12.00 ,,2851935000,AB,AB rep,,,,,"UvF_y8AxVV4xANXYATnvl6 , pOOx-H_xWf4lUaGi3S8oG0 , AioSrCnIGd46ahQCOTlRTe","BXfS85oAlu4teuPT3Zcsh0 , JZQWMLMlh74fqVWwGwbnY7",AB JL-25 OR EQUAL
"Ethernet CABLE,COMMUNICATION,CATEGORY 6 NETWORK CABLE","CABLE,COMMUNICATION,CATEGORY 6 NETWORK CABLE,FOR STANDARD ETHERNET(10BASE-T) OR FAST ETHERNET(100BASE-T) NETWORKING, MALE/MALE RJ45 CONNECTIONS WITH SNAGLESS BOOTS,PVC JACKETED CABLE,4 TWISTED PAIRS,24AWG,YELLOW,7FT A2Z CABLES #JL-7 OR EQUAL",$8.00 ,,2809989000,AB,AB rep,,,,,"q5kOQqmEYG4zm8jFZQYTv8 , Db_HJQLJWB4_aXq7580cSd , o9A9oOIJq54euqSQL2_rNb , KHlv6A-sMb4_Qr96X_cII2 , 0gV5IBhDw44eELMcLeYub3 , ZLNmxKSgZU4-25h-kDBqo0 , xlykpqk7d94huvgLhAcvU2 , _KmzWDZnjU4haH2fldjSwb","jDYG9LJ2nv4rI5Z8iH4he8 , QGaiWqi3-64PQgPKDIkiXd , S5r6BFHAJn4-aqB7BdI15c , 3DitXXI7LC4oyoJhx4iRqa , we3xgPDPGi4Gqf01y5ZP0f , GOEwIU2o_s45EMkbMVdY1e , tVYYcDm6Lz48ImaHQLT4l8 , 2bIGKfwMKl49mPTGr28-hf","AB Ethernet CABLE,COMMUNICATION,CATEGORY 6 NETWORK CABLE"
FNQ-R-5,"FUSE,5A, 600V",,"FUSE,5AMPS,600VOLTS,TIME DELAY
COOPER BUSSMANN (CC-TRON) #FNQ-R-5",2806798000,Bussmann,American Electric,,,,,P0IpMb-5pt4PMM9EObfcR7,Nulo4OLiRP4ZqMTkUJaiX6,Bussmann FNQ-R-5
GMA 5R,"FUSE,5A, 125V",,"FUSE,5AMPS,125VOLTS
BUSSMANN #GMA 5R",2804138000,Bussmann,American Electric,,,,,xN7yntjKPt40u9IaclVul2,#NAME?,Bussmann GMA 5R
LPJ-30SP,"FUSE,30 AMPS,600 VOLTS,CLASS J DUAL ELEMENT,                          
TIME DELAY                                                            
BUSSMANN #LPJ-30SP",$38.00 ,,2851709000,Bussmann,American Electric,,,,,QNJooxtqa44FyoggYsEm21,"EwauFqsfvl4Qi3Z795rLha , e96wAX2f8Y4CM2JzpjLrh9",Bussmann LPJ-30SP
"FUSEHOLDER SPARE (5)FUSES 13/32""DIAMETER","FUSEHOLDER,SPARE,(5)FUSES 13/32""DIAMETER, THERMOPLASTIC CONSTRUCTION,ADHESIVE BACK BUSSMANN #5TPH",$36.00 ,,2808701000,Bussmann,American Electric,,,,,"z4qk8V_mdQ4U2Vt6147muf , IMjJYAQXwa4hmegcahQJAd , 7KEL5d-oLY4oeoMQYKexN9 , pTD6Q75InP4nY4IDbJB5c7 , 5fUSybDoC74AqHueQuHSfd","GrMxdmO7Nz4Ii5Ev6dIyyf , _5jGI1qfD84XAm7iPHaV0a , VRX8xChr124uU98SDChtpf , 9rYb9ThTUN4TQjsY3k71a0 , fKahzlVr6N4zavx3FsNOx1","Bussmann FUSEHOLDER SPARE (5)FUSES 13/32""DIAMETER"
FNQ-R 7-1/2,"""                                                    FUSE,7.5AMPS,600VOLTS COOPER BUSSMANN (CC-TRON) #FNQ-R 7-1/2""",,,2807756000,Bussmann,American Electric,,,,,4B66dGiBrlQ82jRiHTiOMn,,Bussmann FNQ-R 7-1/2
BK/GMA-1R (OLD,"FUSE,1AMPS,250VOLTS
BUSSMANN #BK/GMA-1R

(OLD# GMA-1R)",$1.27 ,,2806880000,Bussmann,American Electric,,,E19180,JDYX,"H_s3XRWX1d4_m6fbNgRBu7 , _0lKoNJsm34jmnr1mnuwp2 , gMSIkie2-W4f2KN1vbGjAc , HPcFelCoEe4uMtphiNSZla , _d92c3ZC8q4nACEhK28hlc , R_5Wb5HAhM4aIidS18Xzhe , EDCbLUTH0f40UBvCt8xate , wxaKkovSQu45Y4nSyd-GWc , HB6ua7Y3lg4qIuoRXDX7M2","WJ6_KHPUZE4PqCK-9MfdNd , a7rTQm6MSv4F2N3qEYCvw6 , GSLwL8Fnzn41evL0-MXTh3 , eXwxtv89jx4_MdtIJ2Fxq7 , uB91CwA00J4ruSWNbVasDe , X_jj7mGwrh4BQbhxc35HH9 , _wMJwcLJEi4yq2ovt-PC4c , -8nQj78OML4E6iri0frvZ7 , 5KsKFb4zn_4uUGhoX5Wk_e , nWWIsYHxcH4ZeMryB_Cgl1",Bussmann BK/GMA-1R (OLD
AGC-3-R,,,,,Bussmann,American Electric,,,E19180,JDYX,tqijqqWo6a4Ha3YK2pqU_2,,Bussmann AGC-3-R
AGC-6-R,,,,,Bussmann,American Electric,,,E19180,JDYX,7CJ095kcYq42uXYUTNBS7a,,Bussmann AGC-6-R
GMA-2-R,"FUSE,2 AMPS,250VOLTS
BUSSMANN #GMA-2-R",$1.28 ,,2804139000,Bussmann,American Electric,,,E19180,JDYX,"jLhg3yQYr54UEaircx5h4f , Jx92yY-tiO4mUZo8Rp6e55 , 9nrdTEqLkM472RrT79Pas8 , xcet1X1i6y4dmj3DtLFTN4 , G1bLiEY2Wh4OigxOOMIZ66 , U24-WZxck44bqT5Volgoxe , LMrm_WjNFc4IYznwrb6UW6 , pIsvL4oyid4Zi84Ivfqdwa","hdgEgxPfBV4Q2vAKjmZq88 , 9g4ir1f-rx4qMVZ9AIhNS0 , 5kdRKGBahF4IYNhkXp6rTb , pyvWtECOim45QqM77MU_I1 , VmEhGhsRmC4MEK1LOUwP04 , yccrTBAFI84Be5_Q5pfLM5 , 5wlBY_whyV4BefVcntoV62 , cNb2xgt7QO4ou1b9cm4yO6",Bussmann GMA-2-R
AGC-2-R,,,,,Bussmann,American Electric,,,E19180,JDYX,WGSqJK2XwQ4-E43WOA1Wfa,,Bussmann AGC-2-R
JM70100-3CR,"BLOCK,FUSE,100 AMPS,600V,3 POLE,22MM X 58MM
SEMICONDUCTOR FUSE,BOX LUG TERMINAL
BUSSMANN #JM70100-3CR",$150.00 ,,2851706000,Bussmann,American Electric,,,,,"uYoXKFoNAg4hyVR4AiuNNa , pus7TFmq3c4zQCilTBukb8 , cEIrSXrGBo4JQG0n8EylS9","05kiq3501Q4ty-EOBSL9g6 , kimnAA4ne64gYk5X3TxtF1",Bussmann JM70100-3CR
GMA 4,"FUSE,4 AMPS,125VOLTS
BUSSMANN #GMA 4",$1.28 ,,2851654000,Bussmann,American Electric,,,E19180,JDYX,"chcMyIGzFX4iI0wZWT-Ib0 , Mb4SvZcCdT4pyJnu8OdvIf","k2t2irm3AB4X6zp77mbPfa , LSaC76pYiL4GiH9Td_iSoc",Bussmann GMA 4
