Part Number,Description,Cost per Unit,Notes,MECO Part Number,Manufacturer,Vendor,In Stock,Update,UL File Number,UL CCN,Related Panel Details,Related Job Parts Lists,Label
25B-E019N104,"VARIABLE FREQUENCY DRIVE,POWERFLEX 525
600VAC/19AMP/15HP(11KW)
IP20 NEMA/OPEN ENCLOSURE,D FRAME
ALLEN-BRADLEY # 25B-E019N104","$2,876.36 ",,2854589000,Allen-Bradley,Rensenhouse,,,E59272,NMMS7,1lwET7bB2R48ahOJAzMSx5,"tOzGfI3xtz4mAk-NE7RXA4 , uBPzwk1tyP4veXQVsPLw21",Allen-Bradley 25B-E019N104
800T-XD1,"BLOCK,CONTACT,1 NORMALLY OPEN
ALLEN-BRADLEY #800T-XD1",$22.51 ,,2807500000,Allen-Bradley,Rensenhouse,,,E14840,NKCR,"a3RGqCVk15452z3JzG8Bz6 , V1YSx1SblE4vU6zsFN3Rn3","-dIjsIzjlp4JIQiiKsM234 , 15t_36FDFl4wEc9x6a5ikb",Allen-Bradley 800T-XD1
1492-M7X12H1-50,"MARKER,TERMINAL,HORIZONTAL,NUMBERS 1 TO 50,(108/CARD)
ALLEN-BRADLEY #1492-M7X12H1-50",$21.85 ,,2850936000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"bfJCMtVKBi4T60tewFDfre , aniM342TBx4JqgCbY9t8bd , _VN8MxGDPK4O2DAHhWDmNa , yu17Agybbn4PMzVZplr8f3","VV_szf8BLP4-YpZe-vXdq4 , QC1ZsZXA0-4pQDUteJY-Ne , P_mCOP6M1-4NUtcdI0_qk6 , LBkzeCiNeY4iao2XC0I4sd , IoSWkXZYFf4zQjJr29RGac",Allen-Bradley 1492-M7X12H1-50
800H-AR9,"BUTTON,PUSH,YELLOW,BOOTLESS FLUSH HEAD,
MOMENTARY CONTACT,NEMA 4X
ALLEN-BRADLEY #800H-AR9",$84.35 ,,2807645000,Allen-Bradley,Rensenhouse,,,E14840,NKCR,"A7JbJbFvXP4VMEIGUGEuxf , YJRsxWDkC54VAO1-xrL0vc","rl4h57Z3NT4bETbprzc_m1 , mJSEi9CIpP4VapGaQEVC-e",Allen-Bradley 800H-AR9
"CIRCUIT BREAKER ,4AMPS","CKT BKR,4 AMPS",,"CIRCUIT BREAKER,4AMPS,1 POLE,277VAC/48VDC MAX (UL/CSA), 415VAC/48VDC MAX (EN/IEC),TRIP CURVE C ALLEN-BRADLEY #1489-M1C040                                     (OLD# 1489-A1C040)",2852243000,Allen-Bradley,Rensenhouse,,,,,ZeaZBGDGjE4qa94upqQG-9,y5Q_-8Fds34M2VYilai1ef,"Allen-Bradley CIRCUIT BREAKER ,4AMPS"
800H-FRXT6A5,"BUTTON,PUSH-PULL/TWISTED,MAINTAINED,
RED MUSHROOM HEAD,NEMA 4/4X,2NC
ALLEN-BRADLEY #800H-FRXT6A5",$195.33 ,,2850945000,Allen-Bradley,Rensenhouse,,,E14840,NKCR,"k54FYKwc304I2Micxf4x9c , m74VOkhFSM4P2GEpachPcf , OzHWJIMOjZ4VaY5l6bReqf , 519JcKWqZD4vuz4RTlIzH4 , QKGiea9pkV4ha8KXiNB0a2","XC8L1DJKeX46mpp0nyNGS8 , XbrjxwS2gP4ge6iCYKgB32 , 6t3UORL27F4V2vxWqNvhRa , luAj1lcHxp4jqYLCUxPfH1 , rZup6K2rGB4AaqmpO77su9 , 5YSNpVkz6f4VUqQffFjRp4",Allen-Bradley 800H-FRXT6A5
22-8AWG ALLEN-BRADLEY,"BLOCK,TERMINAL,600V",,"BLOCK,TERMINAL,600V,#22-8AWG,COMPRESSION CLAMP,
GREEN/YELLOW STANDARD GROUNDING BLOCK,
ALLEN-BRADLEY #1492-JG10",2854069000,Allen-Bradley,Rensenhouse,,,,,N2AGVSljb94uqRgo8SxYcd,Snb6pUvNck4jmrjLybDCc4,Allen-Bradley 22-8AWG ALLEN-BRADLEY
"COMPRESSION CLAMP, BLUE BODY","BLOCK,TERMINAL,600V,#22-10AWG,COMPRESSION CLAMP, BLUE BODY, ALLEN-BRADLEY #1492-J6-B",$2.28 ,,2807779000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"Zn63d--KVJ4liOHvouslqe , S3XA7f5j6V4Zm-luZl5uD4 , qiRErNkNOl4kEnemkZA7q2 , jMp9PweUXj4eMiXJZb0M9d , XnspBbLdck4kIeYyb-Vr88 , GODhmNmBDq4rE9U_QFF9F7 , WiZL2IlF064GQHfCHj6aV0 , QTeI-a5vdZ44q8k7StOF0f , CHbk5dnk5g4kuPizcMbRh8 , 1TfyLa3pNu4AMNJHvvq6B9 , P3EfoHu3ZP4SuiUe3mUfr1","wALbJ_t-2s4mqTUKK2Zcp0 , C1YEDWlqnQ43UX1-Rrn-c3 , zPvrj5C2rk4hu1qjarhg41 , jLDdHoz-iF4XYOFSBgWSjc , Q2fqXjXLzn4n2PIrG722m8 , y3Ai4kds3y4JQAhiehN132 , Ry10lBdmHC46ITDDe3s109 , LfzivB0Dwm4VuLs24NU0ta , o4A62Plaau46MGUMp9Xlk8 , Vc5_SuVXZu4hAjneHjOVz8 , uuaftHi9HR4DaN5IR1WXo9 , vi2LggRC9P4_y9YQstt2B7","Allen-Bradley COMPRESSION CLAMP, BLUE BODY"
1492-WFB4250,"BLOCK,FUSE,15AMPS,85-264VAC,1 POLE,
LED BLOWN FUSE INDICATOR
ALLEN-BRADLEY #1492-WFB4250

NOTE TO MECO: CLEAR LIGHT AT TOP OF BLOCK
              DESIGNATES WFB4250",$27.85 ,,2809537001,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"fQyZK9QPXK45AWUZ7k4cIe , b8b0Sxn0FM4smgM23WeVL5 , 5wQS8Wyp3j4bqZYHtV4FD5","oxFJ-MOhk44juaPmCfprC5 , ElpZ0PpDgy4N2k9F6rF2N3",Allen-Bradley 1492-WFB4250
5069-IB16,"MODULE,INPUT,DISCRETE,24V-DC,16 CHANNELS
ALLEN-BRADLEY #5069-IB16",$296.35 ,,2853163000,Allen-Bradley,Rensenhouse,,,E322657,NRAQ,"tprsf_TSlF4vuoMBq5CCW3 , 3kgW0P6M5G4MmbJxixXLh3 , ZiI3ELWeNo4zEe7UW7Gme2 , NiWeiIpTPz4X6cH0IKPAF5 , emHdO0A3L14DA2OOiwRON9","5pirXCNPBz41IIueiL8I4f , LOzwdB2iYT4tiTxwnF5P38 , hBic1Dr-um48YZHr_Pkkf7 , s9FXv7dqeO4gixsiu7Sjna , N7gYgjwK0h4fAxWD-XRGa1 , _OLBPHJm4m4ZMOOLZwaHg2",Allen-Bradley 5069-IB16
5069-IF8,"MODULE,ANALOG,8 INPUT VOLTAGE/CURRENT
ALLEN-BRADLEY #5069-IF8",$976.96 ,,2853165000,Allen-Bradley,Rensenhouse,,,E322657,NRAQ,"bpG_NU430l4zqqsHLFODs5 , _VwC31sbGf4zu73ntTxzx4 , FkMLdJnr8949Q3Js4R35X7 , b_LELZz3nV4liec3iE9oT1 , gMcPfKHrr-47mR7FPYPfM8","CLWGPLVm4u4sMwF3nBzEC4 , Gd99XAzvqN4-q2o0dRmNZ0 , gnqGhg420t4RebHq6tBBj3 , UIr_s2jQ2v4ua1gqhhh644 , pgRL4yZbLo4jqI2GTHEio9 , wxS9g_8OC743yPWug6BSo5",Allen-Bradley 5069-IF8
5069-FPD,"MODULE,FIELD POTENTIAL DISTRIBUTOR
ALLEN-BRADLEY #5069-FPD",$176.92 ,,2853171000,Allen-Bradley,Rensenhouse,,,E65584,NRAQ,"wxaSJQpM804ji7qWt9MVR4 , L6bUMWZSc44VuF5ZBaOaO3 , 54lBPdiOyY4diIxqPLl1X8 , R-of07fVHX4nUMkWf7rhOe , D0cLqJ2UkJ4KmItiMExeT7","hhSzz3gbsh4jUNAO54Ypn9 , UJySpLUm7R4Jy6_s2dcsMa , 5tZbrYyzrk4eavIVk-95y7 , wuefzUj4OG4CQ9lmwSOKBa , 0CwsBVcNQN4rqCceQsSNjf , hxRD8FYqd-4rEPjxG5POW9",Allen-Bradley 5069-FPD
5069-L310ER,"MODULE PRCESSR,1.0 MBYTES",,"MODULE,PROCESSOR,1.0 MBYTES,ALLEN-BRADLEY COMPACT LOGIX
5380 SERIES CONTROLLER,(2)ETHERNET/DUAL-IP PORTS & (1)USB
PORT,1.0 GB SD CARD,UPTO 8 I/O EXPANSION
ALLEN-BRADLEY #5069-L310ER",2853161000,Allen-Bradley,Rensenhouse,,,,,C65tXR8AaA4p67kYhKgWQ3,Z722Vn2OpL4iUYJdPMdJqa,Allen-Bradley 5069-L310ER
1492-MS6X12H1-50,"TERMINAL MARKER,HORIZONTAL,NUMBERS 1 TO 50 FOR TERMINAL BLOCK
ALLEN-BRADLEY #1492-MS6X12H1-50",$14.15 ,,2807511007,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"lbF541tRDp4VMOfErfzA-6 , K7lgiVpUrW49ivpew3LTca , 9Jt1_uRpTl4XApGqmND0X4 , waXVitisoC4EE5qu3YeFX0 , ojpiN60hCJ4nmMpzLCCZm1 , 7TLGMoPUMY4CmrWBQleAAf , tAVlKL1Wny4KmHfU2wIyx3","naNrUZKobi4oQJ4ZHIJvA8 , 9alDi82sZH48u8TtjvZ-p7 , 0ZryuWZePI4WQ7D25G31z0 , wNS1bkv7XC4HYitAJXoaM4 , nDLNDiSEGQ4xUZgh2xcKaa , _S3Uq-O0ay4KEMj6eIjJyd , 0FFh8O3jn_4qi-LKkoYuRe",Allen-Bradley 1492-MS6X12H1-50
"JUMPER,CENTER,10 POLE,FOR ALLEN-BRADLEY TERMINAL BLOCK","JUMPER,CENTER,10 POLE,FOR ALLEN-BRADLEY TERMINAL BLOCK #1492-J6 ALLEN-BRADLEY #1492-CJJ8-10",$8.93 ,,2850937000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"4KUc54ba4n4Ry-g7nXizoc , 6Yzm-990Mv4_ygWqKIFn97 , _MA7kqlKZG4TQsvD3swIp3 , rL9tHmy5LD4oa9unxJXKEa , mlnpd52AHD4FaGZDTxOB99 , c3BKlL8MAc4y6s4dEw4V_0 , rU56U2htyl4JqddHeDh9i4 , BdYbODRf2L4UQ-ObPZAg21 , UeGXJCv1aH4gicg6G4-Bb0 , ur5KY9Q3iK4sQ3Tp9Dz4ta , abm-Xqgwqv4VqN4K4yKoqd","5niSmz1Hpr4ZqVBKhH9U61 , Q--v2cnote4RqcWdBdkpI1 , ciyPKrtVZi4GIze6D-4UOa , Q6czXQKYNM4RQSuUu5Gv9e , mk0WQVwjTN4P2QJIDiHSyc , Psle67sFXl406JScqUMAd9 , lcfgVpP06d4yiJnLtwbCB7 , 7Vmn-QFCgL4J2ubGYdsDdc , dIqNxCe00-49yC-zbRCIAd , CVVnMcy5di4k6-2f7_3LAd , f66g8ylZIN4U20FxWcnfy1 , YvajkJqXXR4UaM-IwR9E2b","Allen-Bradley JUMPER,CENTER,10 POLE,FOR ALLEN-BRADLEY TERMINAL BLOCK"
1492-EBJ3,"SECTION,END BARRIER,TERMINAL BLOCK
ALLEN-BRADLEY #1492-EBJ3",$0.98 ,,2807770000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"ysMrnJV0wx4X6Yx-N2Ig51 , Mk1JkWkZ984pY4nsRUQP44 , 2zdNV_AFwD41Irn6oIXD_3 , P0cAyfVIZL47mGXrtqBSA4 , jbfPVIoBpF45IyR368dNC9 , 3Drp6btqes4OUwvudD6Aqe , HSEtovAOrG4feUBFZCfPt4 , N2b-Vtux1T4NUjKzTp-oX7 , IWhWqfeJKA4PEeQ7QhpG-4 , 7UGpMmTChm4kq0SM99z-_8 , 3mCimha69Y4GE1O17VoJj1","ILrG8GzAqv4qUurzENly38 , dmf45GefWM4JypSXYbTME5 , ysyTThRLfI4taJggIkN9C2 , mSGMc7bT1W47aoaM9Tca2f , Yv6ZoeMeSw4byOP1WsqP0b , g6Zp3kOnA_4-aq1x-nu_y8 , Pmgc7QZ4Ik4_QzOuKsNaNe , CtIIdTjjiP4M2WDZmXNjha , 1I7zU1LxP44vYkD3nhmut7 , cDNxs-U0M24je9-ILeo424 , HrNhJUp7_E49EJAV_5J-Y6 , ZsRBBqp86b4RmGyQ_2v7_7",Allen-Bradley 1492-EBJ3
440R-N23126,"RELAY,SAFETY MONITORING,1 N.C. INPUT,3 N.O. SAFETY OUTPUTS
24V AC/DC POWER SUPPLY, 1 N.C. AUXILIARY OUTPUT,FIXED
TERMINALS,AUTOMATIC/MANUAL RESET
ALLEN BRADLEY #440R-N23126",$297.48 ,,2851921000,Allen-Bradley,Rensenhouse,,,E192904,NKCR,"2H6NeXk-hY4auB6tAxCbJ6 , -s02KJqr0S4VuUojkudlKb , QsvYIQ1fqT4uiw6Nc7LE0f , R4elSqGc8P4mEl_TABuaOf , CaCCld9Rui4Fa-MuWKDeFa","NNRm4mPb9S4Uq2VXvCZIE0 , 7xlL7XGL_N4jMReY9y_fJ9 , XSlHLJXl304W204ByQaqA0 , 71FNNdJJhO4aEejzn9qHIa , LhIWfl1y5-4oUEm5Vr9Hhc , puH-zVWO2N4-mgxXFruvK5",Allen-Bradley 440R-N23126
"BLOCK,TERMINAL,600V","BLOCK,TERMINAL,600V,#22-10AWG,COMPRESSION CLAMP, GREEN/YELLOW STANDARD GROUNDING BLOCK, ALLEN-BRADLEY #1492-JG6",$7.66 ,,2807774000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"pmSWpkSjCp4t6ftYndPMwe , fGXHt-o9_E4Gaw47QzkYgc , Dw9n9AKBRE40QntO3ulEI0 , uhdiVEsR9P46M6iJHw9SX7","Z3Na_LCtZO4qEdKLOXuOze , HLHAPjKFjg4w2QddEPnxP3 , STL_K_VCQO4rirRhikQk8d , ssPQPUrYGe4cAB8zEBHfje , tK3Za_anOx40QlwZu9mao6","Allen-Bradley BLOCK,TERMINAL,600V"
5069-RTB18-SCREW,"5069 COMPACT I/O 18 PINS SCREW TYPE TERMINAL BLOCK KIT
ALLEN-BRADLEY #5069-RTB18-SCREW",$69.63 ,,2853161003,Allen-Bradley,Rensenhouse,,,E195367,XCFR2,"LajuX75FYi4jAisXySKMVc , 6uS9LK2l764JadyYMupkW3 , md9kILkmez4EiJ-aFu0_v3 , -knuWiyf-Q4wUozfSFSrlf , RQoMy-bJEG4Big4KZPfER4","4kJxgOiw4O4LMCWYHHnh09 , RMDIAfus-H4DmvZnYJ0Xg8 , Uhg-cJB3sb4quMzQNypWo6 , 5zPLXiUbmT44md7Nyldgs4 , 5E39-i5ykj4tehlemdEDp0 , q742ljsm7E4mYSorxePf70",Allen-Bradley 5069-RTB18-SCREW
1492-FB3J30-L,"BLOCK,FUSE,600V,3 POLE,30AMP MAX,FOR USE WITH                          CLASS J FUSES,#14-1AWG WIRE RANGE,BLOWN FUSE                          INDICATOR                                                              ALLEN-BRADLEY #1492-FB3J30-L",$124.24 ,,2851584000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,rVELcPryin4NIOIroQb4c6,"Eu9f0ALNEl42AQGDAKJ3C5 , 5D5CMwhvdf4teR0c-oe940",Allen-Bradley 1492-FB3J30-L
1492-FB3C30-L,"BLOCK,FUSE,600V,3 POLE,30AMP MAX,FOR USE WITH CLASS CC FUSES,#16-4AWG WIRE RANGE,BLOWN FUSE INDICATOR ALLEN-BRADLEY #1492-FB3C30-L",$77.98 ,,2851908000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"u_9irzAjay4VilZ8Tl_czb , RupWC9Yo8w4Y6JbvB4uHW2 , SkCUvo5gkW4SYXZd78YSJ0","38D038xRg449Uoqb3ovxPf , cjiYTlAJot4yuiWq8pdeua",Allen-Bradley 1492-FB3C30-L
5069-L320ER,"MODULE,PROCESSOR,2.0 MBYTES,ALLEN-BRADLEY COMPACT LOGIX
5380 SERIES CONTROLLER,(2)ETHERNET/DUAL-IP PORTS & (1)USB
PORT,1.0 GB SD CARD,UPTO 16 I/O EXPANSION
ALLEN-BRADLEY #5069-L320ER","$4,134.87 ",,2853176000,Allen-Bradley,Rensenhouse,,,E65584,NRAQ,"pg6UzwE37k4pugNdajEG-a , -TQ1HaGwuL4vYIuf5UcUSe , QLFB5S7aO94uixv2zH9308","_gbml2J51d4Z2UpvRl7BZ2 , nouRMUn7mK4REM6VDXl740 , RN1TTza5Lk46AJjF4wou59 , 8onZo2xqzd4gel3CCb7Hy5",Allen-Bradley 5069-L320ER
"BLOCK, FUSE, 600V,1 POLE, 30AMP MAX","BLOCK,FUSE,600V,1 POLE,30AMP MAX,FOR USE WITH CLASS CC FUSES,#14-6AWG WIRE RANGE,BLOWN FUSE INDICATOR ALLEN-BRADLEY #1492-FB1C30-L",$24.95 ,,2850940000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"nN1mn-2UNk4HaaXPodHM93 , KVxTWTOWJB48EXjCMbE2vf , e4wtI-rUZ94Wiubvq7cnO9 , JhTslw_dnQ4dICdSST8SN3 , XW6pBTAv-u4hirxHgXfAC9","FSnyvW8uuS4wUWim6PImP3 , ebJX_tjrJ34ZyXS3HhlDNe , kUOu1Tr1bO4Aq9WJJVwHn8 , 7OUwfTaTU94YIz4x0dsjT4 , qq8KTAGctX41me2UwxUtV6","Allen-Bradley BLOCK, FUSE, 600V,1 POLE, 30AMP MAX"
199-DR1,"CHANNEL,MOUNTING,TERMINAL BLOCK,1 METER LONG,
DIN RAIL 35MM X 7.5MM
ALLEN-BRADLEY #199-DR1",$12.91 ,,2807512000,Allen-Bradley,Rensenhouse,,,E3125,NLDX2,"4D5-jPCd9F4Sq8Z-s7ZEI0 , STGUY4W8K84XEvqzIzo0cb , rl8AQTPPKb4tId1IuLDtbb , jwJPsy_Hi_4N2N5chZSa9d , qlrKwbCsO94wILi-U6yOA6 , 3nUqNiSF3E4nyPZTmkwU68 , _ydcwxDwPM4QawIC_6fCm8 , Q0iJTRQbm-4gU7Jw7w5gxc , 30OP0eDT5y4eYx595_w7r7 , PB_ju-xK6T4G208-qIMy91 , KeM3ZsIoKr4AUGz-IeA9N6","FAp9bx0tR243U12rV6UYC1 , JFHIGvUMLK4-UM001cUmqe , mQRUx_Fmbo4ciVFZ1-6eRd , u1_GAOuyoW4_I95uHGbln8 , jXTaVir6ww48iEXNAR7Qb5 , sQpY1b2lLI4XahP3Qow6i1 , dxPHXVIB1K4jMAyLviwek9 , jWbHXgiGfI4V2ufjxliYW2 , 2BumwOuIJZ47ULgTnhMT20 , wsm23Jy2Ii40AP5lTHjKxa , IWshoIPYhg4RUqy4lD6gE9 , 5G8yBEL7Q24qigZ35cWTS9",Allen-Bradley 199-DR1
1492-WFB424,"BLOCK,FUSE,15AMPS,10-57VAC/DC,1 POLE,
LED BLOWN FUSE INDICATOR
ALLEN-BRADLEY #1492-WFB424

NOTE TO MECO: RED LIGHT AT TOP OF BLOCK
              DESIGNATES WFB424",$27.85 ,,2809537000,Allen-Bradley,Rensenhouse,,,E40735,XCFR2,"SBkHXDukpv4giirEXSLCU9 , NqbG9DfgqR4OAG3iFZhww8 , nJONp4O2yr4HmmL0Z3t70c , IR8p9Vcsnh4SAfVEgOD616 , eWUfypaURO4JAAQ1hx71c7 , U87At9lbBI4q6F5c37XYy5 , igCQxrQRJR4FEu2dxOPoL7 , TlFHRa5ID84Ha7x5XXPvm5","7gnfwfaXWq4kiga49g9Ky2 , SEa79WmFNX4K2OCMooM71f , qUgEEM768R4DiFK8rAquNd , i9jTDGfBTV4pQxVAeX7tg9 , zzC4lvn2Rk4p6rdqDkKfm9 , uP8PVCtLtw4QEj5xPtIR_7 , WyV7flOOIm4aiWMKzkROWf , Cj-hW4yASR41irxHDmmnn9",Allen-Bradley 1492-WFB424
5069-OW16,"MODULE,OUTPUT,DISCRETE RELAY,AC/DC NORMALLY OPEN,
5-265 VAC,5-125 VDC,FOR ALLEN-BRADLEY COMPACT LOGIX
ALLEN-BRADLEY #5069-OW16",$788.77 ,,2853164000,Allen-Bradley,Rensenhouse,,,E322657,NRAQ,"7wGQ7_pjDb4YEZMQ_aQV0e , 4IxoiKxG2d4GQ41v1EgxR2 , nl3xdcgAx441yvy_5s8v41 , 4PIaFICpLh4MI9LHUjmBl6 , 1PTEhw8G6n4F6IxUmqv6m9","niF-chXm-54ZyxUYag7-fd , D_BNynLelo4xas7BAFHQ76 , 4OWB4V4vPv4mED_90ApDb8 , Lr2NvcBr8E4vyW5r8x7Z42 , EzSERmt8Ac4juXfIwZ3c3d , WftA4vI-3h4QyZkLosgUo1",Allen-Bradley 5069-OW16
5069-OF8,"MODULE,ANALOG,8 VOLTAGE/CURRENT OUTPUT
ALLEN-BRADLEY #5069-OF8","$1,712.76 ",,2853167000,Allen-Bradley,Rensenhouse,,,E322657,NRAQ,"-At8ztSDWP4N2U433g_E80 , 06HfAGLtRO4que-VwGxPn5 , 4KX0JoLIDL4XA_AFzwZsS9 , ERHUEEy3f74VQtLnQl8QR1 , roAdh4C-bZ4_ABleLpEMjd","m_9F03KLfc4iU0gXlft984 , xxb-GLNoma48QxICT3xvQ0 , 262J0vKEXz4PMP1ITidBC4 , 8Keidh0Y8f4X2GN4wbvmo7 , DfXL-ng1Zq4bAdmIEch-1a , kl5Vivdjtb4hiF01-5qH60",Allen-Bradley 5069-OF8
300-DOD930,"CONTACTOR,NEMA SIZE 3,OPEN,3 POLES,N.O.CONTACT,115-120V,60CY COIL     
ALLEN-BRADLEY #300-DOD930","$1,186.57 ",,2851702000,Allen-Bradley,Rensenhouse,,,E41850,NLDX,"TnUBpxVKtv42UQwGT_xVf5 , G20_TCW6Ko4c64Jv7xv-_6 , xPzaY2W96t4i206m0YcMld","IbQwby6-Sd4jUP70TV8BR1 , mNzvjjfzIH4wMHBMuLAL6b",Allen-Bradley 300-DOD930
C1.5LG6,"COVER,DUCT,FOR 1.500""PANDUIT,LIGHT GRAY,PVC                 
                                                            
NOTE: EACH PACKAGE CONTAINS FOUR 6FT LENGTHS                
      UNIT OF MEASURE----FEET                               
                                                            
PANDUIT #C1.5LG6",$1.50 ,,2802759000,Panduit,Rensenhouse,,,E147128,ZODZ2,"jH5oe9wJQ54Nm5fJs8B_ae , t_gr10XA4_4WeIna-6_Ev2 , ZtSrFfVuBX4rIvl35DIv15 , 9Rai9MXtce4ce2CrpcixUa , gDbJl5qUVN4vA5XyDMMNT6 , Z9kq2iVS6m40A8tTuHr83a , mAEo_h4Wn04RyLH1vRmjX7 , qP5qWBdnUP4BMp-OHQJbhb","O5-SHEywI841MsGA0wNcre , qsK5OHhjch4mmPBQR_3WQ1 , cwVcILHFbP4vQgP_e5m1L8 , kr_Q9c-MSh4yMJuZub5ze2 , Gb6I66gBss46mggtZuXwsd , HmJx_zIQFy4pEEwanM_Tzb , GYuLRDSZ6x4UMU19Fb0k_8 , uMQV7j5zQX4xuOw3AF7raf",Panduit C1.5LG6
F1X3LG6,"DUCT,WIRING,FOR 01.000"" X 03.000"",
LIGHT GRAY,PVC,
PANDUIT #F1X3LG6",$6.87 ,,2850422000,Panduit,Rensenhouse,,,E147128,ZODZ2,"9cZb_-zPBS4umSNNIXULwb , zxbZnBBFSW4WAi33KgdoG3 , 4pbtYwH13o4jQWflqC8zU4 , lIu4f4gR3z4Ve-qBw6ysr8 , 4e4NWkaOlR4QizOhGvsKK2 , jQImMeuIfQ4lE5QtY1Ecvb , QHA4prvmR-4XMnLMFMv9b3 , y6BV5TwbMk4s27MOcwV1ne , RTzaxvOp7L4iAE2pJNr2ue","Y_2jr7ZA0g4vmHnN45g_ff , jxLnO3-3pj4DiPxdEnOe40 , PBMvrvpRas4Xif5YLrxRI9 , HY5yJcpqfN4UQrjqew9pEa , 6fsUSmNTRn43QZv-_EugN9 , -NuDIxnhZ14RabIbkGnkP2 , QHmm17rRhC4iM1vYT90ME4 , qjfzV1z4gb4hYLFnfkGSKe , SSpSbz8mOW4nUUbmPPO9r4 , aFtZ8BdKHY42ApfpNEodpe",Panduit F1X3LG6
F1.5X3LG6,"DUCT,WIRING,FOR 01.500"" X 03.000"",
LIGHT GRAY,PVC,(6FT LENGTH)
PANDUIT #F1.5X3LG6",$7.98 ,,2850362000,Panduit,Rensenhouse,,,E147128,ZODZ2,"B5A_-7g6wE4YEiPzlNPsY1 , 5ITJXGNbYA4zECbeWTzn91 , nLJX2zc2544aqEdwiJuD6c , MjecajsHPh4fIuWiDtRwWe , vuJD5py9hj4J6vjqaG_1ze , Dkl_vDdawS4buKVOpC9vC3 , OktN6X4umM4mYF3Hsrir_9 , 0NVnpYsXPC4XUsCP-9T0Ib","aPVV966b6N4-6OG5XXA3jf , 6R-YfLdHgZ4GiG40pn5hw5 , sw_XfwaEPS41uQjvNGe4wa , aeYpnjC5F04Suysf51rKt3 , FSl0n27RLI4U2hCluJ_XXe , xOaRF-kq5y4yMbg0YVImY1 , b0x1g9S8Te4vUbBGLDrbB3 , sUQRX4rMRI45q1lMVsWwd7",Panduit F1.5X3LG6
C1LG6,"COVER,DUCT,FOR 01.000""PANDUIT,LIGHT GRAY,PVC,6FT LENGTH     
PANDUIT #C1LG6",$1.19 ,,2802758000,Panduit,Rensenhouse,,,E147128,ZODZ2,"kd65SCUyL64GeCYHu7YgMa , KbbO9f7Wsn4nEch8oKkIu2 , 9Jyj-InkG_4KuBM-Bnuuve , rQG-ZRDG-K4Y6VX5K6xMlc , N_iKv2Z0hr4xQQka8iGf8e , c9T8v2dIEU4SM5pTyvpLka , 1nuw2uw8wj4nAgFpdOnE-5 , E3RB-rUiE34UIDG-8x2_N4 , Uft3-T5EYd4peiTtffsrR2","BTIFVdBHBh40Ao9sMvkO66 , UCFfvah6_L49ef798iIb29 , -EDnF74DdT4ciRon9m_7Ac , doajg2Om7Q47iL6n0fvw4f , HlUDl0RQoh4nYbQDbWxf-c , JtxY3XzLV34lM_ALPjiR45 , rA_-VB8s0a4SmkrZAXdMe5 , 3vcRX9hTbD4f6yuJKAMzq6 , PAwvEV_2l44niVViq-Job0 , F1yUiH7gwp42quJTReYXH7",Panduit C1LG6
